cod_ine,CCAA,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30
10,C. Valenciana,2,8,10,15,15,15,19,19,30,30,37,37,50,65,76,94,130,409,409,541,726,921,1105,1363,1604,1901,2167,2616,3200,3532,4034,4784,5110,5508,5922,6308,6624,6901,7184,7334,7443,7655,7964,8331,8578,8841,9060,9213,9424,9615,9869,9795,9937,10018,10084,10538,10692,10906,11123,11372,11412,11658,11816,12058
11,Extremadura,0,0,0,4,6,6,6,6,6,6,6,7,8,9,19,39,66,95,111,153,194,241,297,354,384,493,636,742,969,1231,1394,1456,1560,1628,1679,1837,1893,1979,2047,2068,2116,2184,2273,2332,2486,2580,2658,2684,2762,2881,3019,3081,3136,3186,3196,3230,3260,3403,3458,3465,3480,3487,3513,3538
12,Galicia,0,0,0,0,0,0,1,1,3,3,5,6,22,39,35,85,115,195,245,292,341,453,578,739,915,1208,1415,1653,1915,2322,2772,3139,3723,4039,4432,4842,5219,5625,5944,6151,6331,6538,6758,6946,7176,7336,7494,7597,7708,7873,8013,8084,8185,8299,8468,8634,8805,8932,9116,9176,9238,9328,9466,9606
13,Madrid,4,5,8,10,29,49,70,90,137,174,202,469,782,1024,1388,1990,2940,3544,4165,4871,5637,6777,7165,8921,9702,10575,12352,14597,17166,19243,21520,22677,24090,27509,29840,32155,34188,36249,37584,38723,40469,42450,43877,44783,45849,46587,47146,48048,49526,50694,51993,52946,54884,56963,57997,59199,60487,61726,62510,62817,63443,63989,65146,65659
19,Melilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,8,17,20,23,24,25,25,28,28,38,39,42,45,48,51,54,62,62,70,79,83,86,92,93,93,95,98,98,101,101,102,103,104,104,104,104,105,105,106,116,118,121,121,125,125,125
14,Murcia,0,0,0,0,0,0,0,0,0,0,1,4,9,11,26,35,47,71,77,97,122,167,204,240,296,345,385,477,596,714,802,872,939,974,1041,1084,1145,1188,1235,1259,1283,1326,1356,1383,1413,1449,1463,1487,1520,1598,1625,1638,1644,1646,1681,1695,1721,1741,1756,1771,1771,1793,1840,1894
15,Navarra,0,0,0,1,1,1,3,3,3,3,3,3,12,46,73,130,146,183,274,313,386,482,554,664,794,886,1014,1197,1411,1641,1829,2011,2146,2305,2497,2682,2836,2972,3073,3231,3355,3467,3575,3748,3817,3969,4092,4150,4246,4348,4433,4556,4621,4697,4781,4899,4994,5180,5274,5452,5486,5630,5884,6140
16,País Vasco,0,0,2,3,9,13,17,17,45,45,102,149,195,225,346,417,417,630,630,765,973,1190,1465,1725,2097,2421,2728,3271,3946,4601,5136,5740,6057,6320,6838,7317,7827,8187,8628,8810,9021,9452,9806,10103,10515,10772,11018,11226,11475,11790,12089,12355,12569,12628,12810,13044,13436,13780,14132,14315,14412,14804,15138,15519
17,La Rioja,0,0,0,0,1,3,7,11,29,39,55,81,144,179,205,243,278,300,312,355,419,468,497,564,654,747,802,928,995,1236,1436,1629,1733,1810,1960,2083,2224,2405,2592,2719,2846,2951,3026,3076,3223,3279,3358,3420,3457,3916,4098,3648,3705,3734,3763,3792,3839,4865,4946,4998,5041,5097,5173,5206
00,Total,16,32,44,66,114,150,198,237,365,430,589,999,1622,2128,2950,4209,5753,7753,9191,11178,13716,17147,19980,24926,28572,33089,39673,47610,56188,64059,72248,78797,85195,94417,102136,110238,117710,124736,130759,135032,140510,146690,152446,157022,161852,166019,169496,172541,177633,182816,188068,191726,195944,200210,204178,208389,213024,219764,223759,226629,229422,232128,236108,239369
