fecha,cod_ine,ccaa,ia14d
2020-06-29,18,Ceuta,0.00
2020-06-29,10,C. Valenciana,2.20
2020-06-29,11,Extremadura,3.65
2020-06-29,12,Galicia,1.78
2020-06-29,13,Madrid,15.01
2020-06-29,19,Melilla,2.31
2020-06-29,14,Murcia,3.35
2020-06-29,15,Navarra,17.12
2020-06-29,16,País Vasco,5.39
2020-06-29,17,La Rioja,2.21
2020-06-29,00,España,8.47
2020-06-30,01,Andalucía,3.14
2020-06-30,02,Aragón,34.11
2020-06-30,03,Asturias,0.00
2020-06-30,04,Baleares,4.00
2020-06-30,05,Canarias,2.09
2020-06-30,06,Cantabria,4.47
2020-06-30,08,Castilla La Mancha,11.31
2020-06-30,07,Castilla y León,11.21
2020-06-30,09,Cataluña,15.61
2020-06-30,18,Ceuta,0.00
2020-06-30,10,C. Valenciana,2.86
2020-06-30,11,Extremadura,3.75
2020-06-30,12,Galicia,2.04
2020-06-30,13,Madrid,14.12
2020-06-30,19,Melilla,2.31
2020-06-30,14,Murcia,3.55
2020-06-30,15,Navarra,16.97
2020-06-30,16,País Vasco,5.39
2020-06-30,17,La Rioja,2.21
2020-06-30,00,España,8.50
2020-07-01,01,Andalucía,3.53
2020-07-01,02,Aragón,35.47
2020-07-01,03,Asturias,0.00
2020-07-01,04,Baleares,4.61
2020-07-01,05,Canarias,2.23
2020-07-01,06,Cantabria,4.30
2020-07-01,08,Castilla La Mancha,9.99
2020-07-01,07,Castilla y León,10.00
2020-07-01,09,Cataluña,15.92
2020-07-01,18,Ceuta,0.00
2020-07-01,10,C. Valenciana,2.88
2020-07-01,11,Extremadura,3.93
2020-07-01,12,Galicia,2.26
2020-07-01,13,Madrid,13.31
2020-07-01,19,Melilla,2.31
2020-07-01,14,Murcia,3.82
2020-07-01,15,Navarra,16.81
2020-07-01,16,País Vasco,5.39
2020-07-01,17,La Rioja,2.21
2020-07-01,00,España,8.47
2020-07-02,01,Andalucía,3.62
2020-07-02,02,Aragón,37.14
2020-07-02,03,Asturias,0.00
2020-07-02,04,Baleares,4.70
2020-07-02,05,Canarias,1.53
2020-07-02,06,Cantabria,3.96
2020-07-02,08,Castilla La Mancha,10.23
2020-07-02,07,Castilla y León,9.75
2020-07-02,09,Cataluña,17.93
2020-07-02,18,Ceuta,0.00
2020-07-02,10,C. Valenciana,3.08
2020-07-02,11,Extremadura,3.93
2020-07-02,12,Galicia,2.82
2020-07-02,13,Madrid,12.35
2020-07-02,19,Melilla,2.31
2020-07-02,14,Murcia,3.82
2020-07-02,15,Navarra,17.27
2020-07-02,16,País Vasco,5.16
2020-07-02,17,La Rioja,2.53
2020-07-02,00,España,8.74
2020-07-03,01,Andalucía,3.57
2020-07-03,02,Aragón,37.52
2020-07-03,03,Asturias,0.00
2020-07-03,04,Baleares,4.96
2020-07-03,05,Canarias,1.58
2020-07-03,06,Cantabria,3.79
2020-07-03,08,Castilla La Mancha,10.67
2020-07-03,07,Castilla y León,9.38
2020-07-03,09,Cataluña,18.62
2020-07-03,18,Ceuta,0.00
2020-07-03,10,C. Valenciana,2.96
2020-07-03,11,Extremadura,4.50
2020-07-03,12,Galicia,3.19
2020-07-03,13,Madrid,11.65
2020-07-03,19,Melilla,2.31
2020-07-03,14,Murcia,3.75
2020-07-03,15,Navarra,16.36
2020-07-03,16,País Vasco,5.07
2020-07-03,17,La Rioja,1.89
2020-07-03,00,España,8.76
2020-07-06,01,Andalucía,3.91
2020-07-06,02,Aragón,37.22
2020-07-06,03,Asturias,0.00
2020-07-06,04,Baleares,4.44
2020-07-06,05,Canarias,1.16
2020-07-06,06,Cantabria,3.27
2020-07-06,08,Castilla La Mancha,10.63
2020-07-06,07,Castilla y León,8.42
2020-07-06,09,Cataluña,25.64
2020-07-06,18,Ceuta,0.00
2020-07-06,10,C. Valenciana,3.18
2020-07-06,11,Extremadura,5.06
2020-07-06,12,Galicia,5.85
2020-07-06,13,Madrid,10.58
2020-07-06,19,Melilla,0.00
2020-07-06,14,Murcia,3.55
2020-07-06,15,Navarra,12.38
2020-07-06,16,País Vasco,4.62
2020-07-06,17,La Rioja,1.58
2020-07-06,00,España,9.82
2020-07-07,01,Andalucía,4.08
2020-07-07,02,Aragón,35.47
2020-07-07,03,Asturias,0.00
2020-07-07,04,Baleares,4.52
2020-07-07,05,Canarias,1.25
2020-07-07,06,Cantabria,3.27
2020-07-07,08,Castilla La Mancha,11.46
2020-07-07,07,Castilla y León,7.71
2020-07-07,09,Cataluña,26.40
2020-07-07,18,Ceuta,0.00
2020-07-07,10,C. Valenciana,3.36
2020-07-07,11,Extremadura,5.15
2020-07-07,12,Galicia,6.08
2020-07-07,13,Madrid,10.69
2020-07-07,19,Melilla,0.00
2020-07-07,14,Murcia,3.68
2020-07-07,15,Navarra,10.85
2020-07-07,16,País Vasco,5.57
2020-07-07,17,La Rioja,1.58
2020-07-07,00,España,10.01
2020-07-08,01,Andalucía,4.08
2020-07-08,02,Aragón,35.93
2020-07-08,03,Asturias,0.10
2020-07-08,04,Baleares,4.35
2020-07-08,05,Canarias,1.02
2020-07-08,06,Cantabria,3.10
2020-07-08,08,Castilla La Mancha,12.00
2020-07-08,07,Castilla y León,6.54
2020-07-08,09,Cataluña,25.68
2020-07-08,18,Ceuta,0.00
2020-07-08,10,C. Valenciana,3.40
2020-07-08,11,Extremadura,5.53
2020-07-08,12,Galicia,7.26
2020-07-08,13,Madrid,10.14
2020-07-08,19,Melilla,0.00
2020-07-08,14,Murcia,4.15
2020-07-08,15,Navarra,9.78
2020-07-08,16,País Vasco,6.34
2020-07-08,17,La Rioja,1.89
2020-07-08,00,España,9.89
2020-07-09,01,Andalucía,3.41
2020-07-09,02,Aragón,36.31
2020-07-09,03,Asturias,0.10
2020-07-09,04,Baleares,4.87
2020-07-09,05,Canarias,1.25
2020-07-09,06,Cantabria,3.10
2020-07-09,08,Castilla La Mancha,12.00
2020-07-09,07,Castilla y León,6.17
2020-07-09,09,Cataluña,28.55
2020-07-09,18,Ceuta,0.00
2020-07-09,10,C. Valenciana,3.62
2020-07-09,11,Extremadura,5.90
2020-07-09,12,Galicia,8.04
2020-07-09,13,Madrid,10.04
2020-07-09,19,Melilla,0.00
2020-07-09,14,Murcia,4.22
2020-07-09,15,Navarra,9.32
2020-07-09,16,País Vasco,6.48
2020-07-09,17,La Rioja,1.26
2020-07-09,00,España,10.32
2020-07-10,01,Andalucía,3.79
2020-07-10,02,Aragón,35.78
2020-07-10,03,Asturias,0.20
2020-07-10,04,Baleares,4.96
2020-07-10,05,Canarias,1.11
2020-07-10,06,Cantabria,2.58
2020-07-10,08,Castilla La Mancha,11.86
2020-07-10,07,Castilla y León,5.67
2020-07-10,09,Cataluña,34.64
2020-07-10,18,Ceuta,0.00
2020-07-10,10,C. Valenciana,3.94
2020-07-10,11,Extremadura,7.59
2020-07-10,12,Galicia,8.85
2020-07-10,13,Madrid,9.48
2020-07-10,19,Melilla,0.00
2020-07-10,14,Murcia,4.28
2020-07-10,15,Navarra,12.38
2020-07-10,16,País Vasco,7.79
2020-07-10,17,La Rioja,1.58
2020-07-10,00,España,11.47
2020-07-13,01,Andalucía,4.40
2020-07-13,02,Aragón,46.31
2020-07-13,03,Asturias,0.20
2020-07-13,04,Baleares,5.57
2020-07-13,05,Canarias,1.39
2020-07-13,06,Cantabria,2.07
2020-07-13,08,Castilla La Mancha,10.28
2020-07-13,07,Castilla y León,4.67
2020-07-13,09,Cataluña,45.46
2020-07-13,18,Ceuta,0.00
2020-07-13,10,C. Valenciana,4.08
2020-07-13,11,Extremadura,15.55
2020-07-13,12,Galicia,8.96
2020-07-13,13,Madrid,9.41
2020-07-13,19,Melilla,0.00
2020-07-13,14,Murcia,4.89
2020-07-13,15,Navarra,19.26
2020-07-13,16,País Vasco,7.79
2020-07-13,17,La Rioja,8.21
2020-07-13,00,España,13.90
2020-07-14,01,Andalucía,4.58
2020-07-14,02,Aragón,51.92
2020-07-14,03,Asturias,0.68
2020-07-14,04,Baleares,4.78
2020-07-14,05,Canarias,1.58
2020-07-14,06,Cantabria,2.24
2020-07-14,08,Castilla La Mancha,9.94
2020-07-14,07,Castilla y León,5.92
2020-07-14,09,Cataluña,48.44
2020-07-14,18,Ceuta,0.00
2020-07-14,10,C. Valenciana,4.60
2020-07-14,11,Extremadura,16.30
2020-07-14,12,Galicia,9.00
2020-07-14,13,Madrid,9.29
2020-07-14,19,Melilla,0.00
2020-07-14,14,Murcia,5.09
2020-07-14,15,Navarra,21.86
2020-07-14,16,País Vasco,9.10
2020-07-14,17,La Rioja,8.84
2020-07-14,00,España,14.79
2020-07-15,01,Andalucía,4.66
2020-07-15,02,Aragón,62.91
2020-07-15,03,Asturias,0.68
2020-07-15,04,Baleares,4.26
2020-07-15,05,Canarias,1.63
2020-07-15,06,Cantabria,2.58
2020-07-15,08,Castilla La Mancha,10.33
2020-07-15,07,Castilla y León,5.67
2020-07-15,09,Cataluña,51.49
2020-07-15,18,Ceuta,1.18
2020-07-15,10,C. Valenciana,4.72
2020-07-15,11,Extremadura,16.30
2020-07-15,12,Galicia,8.78
2020-07-15,13,Madrid,9.03
2020-07-15,19,Melilla,2.31
2020-07-15,14,Murcia,5.02
2020-07-15,15,Navarra,24.30
2020-07-15,16,País Vasco,10.83
2020-07-15,17,La Rioja,9.47
2020-07-15,00,España,15.70
2020-07-16,01,Andalucía,5.51
2020-07-16,02,Aragón,81.56
2020-07-16,03,Asturias,0.68
2020-07-16,04,Baleares,4.18
2020-07-16,05,Canarias,2.09
2020-07-16,06,Cantabria,2.75
2020-07-16,08,Castilla La Mancha,11.41
2020-07-16,07,Castilla y León,6.04
2020-07-16,09,Cataluña,57.86
2020-07-16,18,Ceuta,1.18
2020-07-16,10,C. Valenciana,5.12
2020-07-16,11,Extremadura,16.67
2020-07-16,12,Galicia,8.82
2020-07-16,13,Madrid,8.94
2020-07-16,19,Melilla,2.31
2020-07-16,14,Murcia,5.15
2020-07-16,15,Navarra,26.44
2020-07-16,16,País Vasco,13.04
2020-07-16,17,La Rioja,9.47
2020-07-16,00,España,17.68
2020-07-17,01,Andalucía,6.18
2020-07-17,02,Aragón,98.31
2020-07-17,03,Asturias,0.68
2020-07-17,04,Baleares,5.05
2020-07-17,05,Canarias,2.14
2020-07-17,06,Cantabria,2.93
2020-07-17,08,Castilla La Mancha,11.86
2020-07-17,07,Castilla y León,6.29
