Fecha publicación,CCAA,Vacunados ≥80 años,Población ≥80 años,% ≥80 años,Vacunados 70-79 años,Población 70-79 años,% 70-79 años,Vacunados 60-69 años,Población 60-69 años,% 60-69 años,Vacunados 50-59 años,Población 50-59 años,% 50-59 años,Vacunados 25-49 años,Población 25-49 años,% 25-49 años,Vacunados 18-24 años,Población 18-24 años,% 18-24 años,Vacunados 16-17 años,Población 16-17 años,% 16-17 años,Vacunados total,Población total a vacunar,% total vacunada
2021-05-17,Canarias,83.359,90236,"92,4",102.741,154.531,"66,5",17.969,235.092,"7,6",21.790,350.512,"6,2",38.391,832.411,"4,6",2.777,163.899,"1,7",46,44.352,"0,1",267.073,1.871.033,"14,3"
2021-05-17,Cantabria,40.874,41042,"99,6",35.761,53.066,"67,4",4.575,77.345,"5,9",6.359,89.964,"7,1",12.090,194.241,"6,2",707,34.935,"2,0",5,10.791,"0,0",100.371,501.384,"20,0"
2021-05-17,Castilla y León,222.271,223657,"99,4",172.015,245.410,"70,1",41.602,318.575,"13,1",32.413,381.175,"8,5",45.025,738.950,"6,1",2.937,144.422,"2,0",97,40.684,"0,2",516.360,2.092.873,"24,7"
2021-05-17,Castilla La Mancha,132.378,135194,"97,9",106.317,159.101,"66,8",16.342,218.444,"7,5",27.365,307.478,"8,9",37.661,707.865,"5,3",4.093,149.518,"2,7",93,42.364,"0,2",324.249,1.719.964,"18,9"
2021-05-17,Cataluña,435.036,447196,"97,3",348.945,635.292,"54,9",67.024,837.584,"8,0",80.815,1.091.780,"7,4",146.360,2.803.626,"5,2",19.713,556.316,"3,5",322,159.864,"0,2",1.098.215,6.531.658,"16,8"
2021-05-17,C. Valenciana,282.914,276531,"102,3",283.801,437.862,"64,8",29.045,580.728,"5,0",35.970,752.334,"4,8",71.679,1.765.967,"4,1",5.910,352.834,"1,7",119,103.049,"0,1",709.438,4.269.305,"16,6"
2021-05-17,Extremadura,75.778,76005,"99,7",73.938,91.876,"80,5",11.878,125.297,"9,5",14.451,169.216,"8,5",20.999,351.778,"6,0",1.011,76.088,"1,3",52,20.953,"0,2",198.107,911.213,"21,7"
2021-05-17,Galicia,234.287,234302,"100,0",216.155,289.762,"74,6",20.819,346.927,"6,0",27.433,405.889,"6,8",42.989,889.004,"4,8",1.839,152.745,"1,2",30,44.014,"0,1",543.552,2.362.643,"23,0"
2021-05-17,La Rioja,22.724,22207,"102,3",19.571,28.125,"69,6",4.046,37.718,"10,7",3.598,47.664,"7,5",4.971,107.618,"4,6",416,21.170,"2,0",9,6.286,"0,1",55.335,270.788,"20,4"
2021-05-17,Madrid,354.978,364122,"97,5",295.032,526.081,"56,1",59.614,703.323,"8,5",56.307,972.783,"5,8",119.057,2.513.737,"4,7",14.987,479.716,"3,1",197,135.861,"0,1",900.172,5.695.623,"15,8"
2021-05-17,Murcia,69.665,69771,"99,8",64.052,102.899,"62,2",8.493,146.909,"5,8",17.493,213.256,"8,2",28.295,551.265,"5,1",2.599,118.667,"2,2",110,34.712,"0,3",190.707,1.237.479,"15,4"
2021-05-17,Navarra,40.624,41166,"98,7",37.521,55.792,"67,3",6.642,73.844,"9,0",9.306,96.694,"9,6",12.951,223.028,"5,8",965,48.505,"2,0",5,13.906,"0,0",108.014,552.935,"19,5"
2021-05-17,País Vasco,155.430,157950,"98,4",96.778,213.081,"45,4",16.655,280.119,"5,9",25.329,339.977,"7,5",40.894,724.849,"5,6",3.839,140.323,"2,7",13,41.824,"0,0",338.938,1.898.123,"17,9"
2021-05-17,Ceuta,2.243,2605,"86,1",3.393,4.318,"78,6",1.008,7.857,"12,8",671,11.556,"5,8",932,30.066,"3,1",73,7.581,"1,0",3,2.175,"0,1",8.323,66.158,"12,6"
2021-05-17,Melilla,1.742,2349,"74,2",2.710,3.748,"72,3",1.420,7.827,"18,1",631,11.299,"5,6",944,30.095,"3,1",78,8.536,"0,9",6,2.324,"0,3",7.531,66.178,"11,4"
2021-05-17,FF.AA.,3,-,-,4,-,-,623,-,-,1.648,-,-,6.760,-,-,519,-,-,0,-,-,9.557,-,-
2021-05-17,España,2.801.117,2.834.024,"98,8",2.575.169,3.960.045,"65,0",405.381,5.336.986,"7,6",489.314,7.033.306,"7,0",857.594,16.706.113,"5,1",83.626,3.310.299,"2,5",1.515,949.049,"0,2",7.213.716,40.129.822,"18,0"
2021-05-18,Andalucía,416.358,413.516,"100,0",513.032,650.381,"78,9",62.957,916.147,"6,9",85.944,1.265.021,"6,8",156.291,3.009.381,"5,2",14.976,625.846,"2,4",315,181.921,"0,2",1.249.873,7.062.213,"17,7"
2021-05-18,Aragón,97.389,98.807,"98,6",87.407,118.955,"73,5",18.382,156.367,"11,8",15.287,198.266,"7,7",23.085,446.083,"5,2",1.568,89.180,"1,8",31,25.106,"0,1",243.149,1.132.764,"21,5"
2021-05-18,Asturias,85.400,87.826,"97,2",80.454,109.249,"73,6",13.801,149.652,"9,2",19.175,162.645,"11,8",30.736,322.095,"9,5",3.332,54.179,"6,1",35,15.563,"0,2",232.933,901.209,"25,8"
2021-05-18,Baleares,48.084,49.542,"97,1",53.729,80.516,"66,7",6.088,117.231,"5,2",8.574,165.797,"5,2",19.001,464.054,"4,1",1.386,85.839,"1,6",32,23.300,"0,1",136.894,986.279,"13,9"
2021-05-18,Canarias,83.803,90.236,"92,9",105.857,154.531,"68,5",18.077,235.092,"7,7",22.475,350.512,"6,4",38.484,832.411,"4,6",2.793,163.899,"1,7",47,44.352,"0,1",271.536,1.871.033,"14,5"
2021-05-18,Cantabria,40.963,41.042,"99,8",37.999,53.066,"71,6",4.674,77.345,"6,0",6.404,89.964,"7,1",12.119,194.241,"6,2",710,34.935,"2,0",5,10.791,"0,0",102.874,501.384,"20,5"
2021-05-18,Castilla y León,222.624,223.657,"99,5",180.549,245.410,"73,6",41.852,318.575,"13,1",32.610,381.175,"8,6",45.178,738.950,"6,1",2.948,144.422,"2,0",97,40.684,"0,2",525.858,2.092.873,"25,1"
2021-05-18,Castilla La Mancha,132.481,135.194,"98,0",108.864,159.101,"68,4",16.421,218.444,"7,5",28.212,307.478,"9,2",37.740,707.865,"5,3",4.104,149.518,"2,7",93,42.364,"0,2",327.915,1.719.964,"19,1"
2021-05-18,Cataluña,435.123,447.196,"97,3",349.660,635.292,"55,0",67.885,837.584,"8,1",81.631,1.091.780,"7,5",147.431,2.803.626,"5,3",19.842,556.316,"3,6",323,159.864,"0,2",1.101.895,6.531.658,"16,9"
2021-05-18,C. Valenciana,283.003,276.531,"100,0",286.008,437.862,"65,3",29.394,580.728,"5,1",42.000,752.334,"5,6",71.938,1.765.967,"4,1",5.923,352.834,"1,7",119,103.049,"0,1",718.385,4.269.305,"16,8"
2021-05-18,Extremadura,75.820,76.005,"99,8",75.029,91.876,"81,7",11.897,125.297,"9,5",14.507,169.216,"8,6",21.020,351.778,"6,0",1.012,76.088,"1,3",52,20.953,"0,2",199.337,911.213,"21,9"
2021-05-18,Galicia,234.293,234.302,"100,0",216.303,289.762,"74,6",20.992,346.927,"6,1",27.634,405.889,"6,8",43.288,889.004,"4,9",1.853,152.745,"1,2",30,44.014,"0,1",544.393,2.362.643,"23,0"
2021-05-18,La Rioja,22.764,22.207,"100,0",21.542,28.125,"76,6",4.086,37.718,"10,8",4.373,47.664,"9,2",5.006,107.618,"4,7",419,21.170,"2,0",9,6.286,"0,1",58.199,270.788,"21,5"
2021-05-18,Madrid,355.876,364.122,"97,7",318.653,526.081,"60,6",60.520,703.323,"8,6",57.161,972.783,"5,9",119.953,2.513.737,"4,8",15.101,479.716,"3,1",203,135.861,"0,1",927.467,5.695.623,"16,3"
2021-05-18,Murcia,69.830,69.771,"100,0",66.630,102.899,"64,8",8.758,146.909,"6,0",17.502,213.256,"8,2",28.307,551.265,"5,1",2.601,118.667,"2,2",111,34.712,"0,3",193.739,1.237.479,"15,7"
2021-05-18,Navarra,40.706,41.166,"98,9",39.562,55.792,"70,9",6.669,73.844,"9,0",9.323,96.694,"9,6",12.973,223.028,"5,8",965,48.505,"2,0",5,13.906,"0,0",110.203,552.935,"19,9"
