NOMBRE,DIRECCION,CIUDAD,PROVINCIA,LATITUD,LONGITUD,COMENTARIO,HORARIO,TELEFONO,BOCADILLOS_BEBIDAS_CALIENTES,COMIDA_PREPARADA,DUCHAS
CRED LAS GALLETAS,CR GUAZA-LAS GALLETAS TF-66 P.K.,Villa Isabel-arona,Tenerife,28.01855216,-16.67367402,,De Lunes a Domingo de 06:00 a 22:00 horas,922730716,SI,SI,
E.S. MURRIA HERMANOS,"CR N-232 P.K. 134,80 D",Alcañiz,Teruel,41.05260069,-0.15278202,,De Lunes a Sábado de 06:00 a 22:00 horas; Festivo de 07:00 a 22:00 horas,978870050,,,SI
"E.S. ANDORRA, S.L.","CR A-223 P.K. 12,10 D",Andorra,Teruel,40.98209595,-0.44791779,,De Lunes a Domingo de 07:00 a 21:00 horas,978842014,SI,,
GASOLEOS PLAZA SLU,"CR N-234 P.K. 175,50 I",Monreal de Camp0,Teruel,40.78271916,-1.34724665,,De Lunes a Sábado de 08:00 a 22:00 horas; Festivo de 09:00 a 21:00 horas,978863059,SI,,
"A.NUEZ E HIJOS, S.L.","CR N-211 P.K. 165,00 D",Montalban,Teruel,40.8313676,-0.79821901,,De Lunes a Viernes de 09:00 a 20:00 horas; Sábado de 09:00 a 14:00 horas,978750288,SI,,
E.S. VENTA DEL BARRO,"CR N-232 P.K. 170,20 I",La Puebla de Hijar,Teruel,41.21411715,-0.46832846,,De Lunes a Viernes de 07:30 a 20:00 horas; Sábado de 08:00 a 14:00 horas; Domingo de 08:00 a 14:00 horas,978820708,SI,,SI
ES GRUPO MAICAS PEIRO SLU,"CR N-234 P.K. 150,50 I",Santa Eulalia del Ca,Teruel,40.56429646,-1.28542786,,Lunes de 07:00 a 21:00 horas,978780233,,,SI
"E.PEIRO BONAFONTE,SL","CR N-234 P.K. 83,00 I",Sarrion,Teruel,40.14888368,-0.82339518,,ABIERTO 24h.,978780438,SI,SI,SI
CRED TERUEL II (PL.),CL AVENIDA DE SAGUNTO-FUENFRESCA S.N.,Teruel,Teruel,40.33279385,-1.08747022,,De Lunes a Domingo de 06:00 a 23:00 horas,978606579,SI,SI,
E.S. CENTRO,"CL AVENIDA SAGUNTO, 5",Teruel,Teruel,40.33679286,-1.10485068,,De Lunes a Domingo de 07:00 a 22:00 horas,978601015,SI,,
