NOMBRE,DIRECCION,CIUDAD,PROVINCIA,LATITUD,LONGITUD,COMENTARIO,HORARIO,TELEFONO,BOCADILLOS_BEBIDAS_CALIENTES,COMIDA_PREPARADA,DUCHAS
E.S Andamur El Límite,Autovía del Mediterráneo km 565,Huércal-overa,Almería,37.4813499,-1.87195,,,95052 87 90,SI,,
Estación de servicio Axarquia,A-7 en el kilómetro 292,Axarquía,Almería,36.7619941,-3.8884083,Tienda y aseos,,,,,
Restaurante Guadalquivir,Carretera Bailén-Motril,Mengíbar,Jaén,37.9830153,-3.7982928,Regalan bocadillo y una lata,12H - 14H,659 468 828,SI,,
Hotel-Restaurante Yuma La casa del camionero,Aldea de los Rios en la A-4 (salida 280).,,Jaén,38.1937262,-3.6735924,"Parking vigilado. Por ventailla: bocadillos, pan y otros productos",,,SI,,SI
Hostal Restaurante Los Mellizos,la N-IV  en el kilómetro 280,Guarromán,Jaén,38.1938049,-3.6747303,Menús para llevar llamando a un teléfono,,630 068 939,,SI,
Andamur Guarroman,"Polígono industrial de Guadiel, en la N-4 EN EL KILÓMETRO 288",Guadiel,Jaén,38.142865,-3.7253426,Servicio de menu todos los días,10H - 16H,,,SI,
Estación de Servicio BDMED Carboneros,"en la A-4, en el kilómetro 275 en Carboneros",Carboneros,Jaén,38.2282282,-3.6306307,"El restaurante Acebuche ofrece servicio de comida para llevar. Además, regalan una bebida a los transportistas en el Supermercado SUMA, que se encuentra en el mismo área",,,,SI,SI
Hotel Restaurante La Yedra,A 45 km 112 en Antequera,Antequera,Málaga,36.9815329,-4.4617183,,,952 701 497,,SI,
Hotel Restaurante Las Acacias,,,Málaga,36.7220778,-4.371812,Duchas y servicio con cita previa,,952 200 167.,,,SI
Gasolinera Cepsa Cuesta La Palma,"en la A-92, kilómetro 177",Loja,Granada,37.135359,-4.2853995,,,,SI,SI,
Restaurante La Ruta de Peñalba,Carretera N-II Kilómetro 401.800 en Peñalba,Peñalva,Huesca,41.5009061,-0.0309419,,,670 64 54 24,,SI,
Área de Servicio Canuhe,"en la A-23, en el kilómetro 332",,Huesca,41.9920297,-0.6693756,Tienda y aseos,24H,,SI,SI,SI
Estación de servicio Rausán Alfajarín,N-22 en el kilómetro 341,Algajarin,Zaragoza,41.6062768,-0.6940471,Tienda y aseos,24H,,SI,SI,SI
Restaurante El Navarro,"A-2, kilómetro 285",Épila,Zaragoza,41.5392725,-1.24005,Aseos,,,,,SI
Estación de Servicio El Portazgo,"Autovía de Logroño kilómetro 0,300",,Zaragoza,41.66044,-0.9275677,Tienda y aseos,24H,,,,
Estación de servicio Las Ventas 1,"carretera de Logroño en el kilómetro 10,500",,Zaragoza,40.4783104,-3.6831232,Tienda y aseos,24H,,,,
Estación de servicio El Cisne,"A-2, kilómetro 309",,Zaragoza,41.6253321,-1.0122994,Tienda y aseos,24H,,,,
Estación de servicio Aragón,"A-68, en el kilómetro 258",,Zaragoza,40.4783104,-3.6831232,Tienda y aseos. Solicitar llave para duchas,L-S: 6H - 22H | D y FES: 7H-22H,,,,SI
Hotel Restaurante La Jarilla,A-66 Salida 449,Jarilla,Cáceres,40.1883324,-6.0055568,Comidas y cenas llamando a los teléfonos,13H - 15H45 | 20H30 - 22H30,927 47 70 40/ 676 48 40 64/ 626 86 33 96,,SI,
Restaurante Los Olivos,N-630 en el kilómetro 591,,Cáceres,39.1644542,-6.2659978,Menús para llevar llamando a un teléfono,,927 38 40 01/676 73 65 10,,SI,
Repsol El Caldero,A-66 en el kilómetro 494,Malpartida de Plasencia,Cáceres,39.8830539,-6.2781863,,HASTA 22H,,,,SI
Valcarce Aldea del Cano,A-66 salida 576,,Cáceres,39.2899508,-6.3307804,,24H,,SI,,SI
Área de servicio Los Cerrillos,A-5 en el kilómetro 174,,Cáceres,39.8886124,-5.4699783,Menús para llevar,24H,,SI,SI,SI
Estación de Servicio Magna Oil El Nevero,Autovía A-5 salida 403,,Badajoz,38.8937142,-6.9938487,Tiendas y aseos,,,SI,SI,SI
E.S Magna Oil Vía de la Plata,Autovía A-5 salida 342,,Badajoz,38.9210932,-6.3776057,Tiendas y aseos,,,SI,SI,SI
Complejo Leo,A-66 en el kilómetro 630,Monesterio,Badajoz,38.0288374,-6.2216983,Tiendas y aseos,HASTA 20H,,SI,,SI
Catering La Gran Familia,"A-66, kilómetro 657",Villafranca de los Barros,Badajoz,40.4783104,-3.6831232,Café gratuito. Menu del día,,649 641 988,,SI,
Bar Raquel,"N-634 en el kilómetro 209, junto a la A-8 salida 210",Penagos,Cantabria,43.3369553,-3.8318788,Pedidos llamando al teléfono,,699 80 47 57,,,
Restaurante Los Arcos,Barrio La Sota S/N en Hoz de Anero,,Cantabria,43.3913602,-3.6669536,Menús para llevar llamando a un teléfono,,942 50 72 38,,,
Área de Servicio Avia Unquera Restaurante La Corbata,A-8 en la salida 272,Unquera,Cantabria,43.3751718,-4.5034123,Comidas y cenas,,,SI,SI,
Área de Servicio Avia Fombellida,A-67 en la salida 126,Fombellida,Cantabria,42.94011,-4.1244283,Comidas y cenas,,,SI,SI,
Área de Servicio Avia Gornzazo,A-67 en la salida 191,Gornazo,Cantabria,40.4783104,-3.6831232,Comidas y cenas,,,SI,SI,
Estación de Servicio Valcarce Ribaforada,A-68,,Navarra,41.9866092,-1.5330753,Comidas por encargo,,948 81 98 25,,SI,
Andamur Pamplona,"Ciudad del Transporte de Pamplona: Avenida del Este,1.",,Navarra,42.7326504,-1.6154654,,,,,SI,
Restaurante en la gasolinera de Sarasate,la N-240,,Navarra,42.4642481,-1.9818586,Menu 5€,,,SI,SI,SI
Área 177,A-2  en el kilómetro 117,Torremocha del Campo,Guadalajara,40.9752297,-2.6185125,,,,,SI,
Catering Santa Cruz. Área de Servicio Ángel III,A-4 en el kilómetro 217,Santa Cruz de Mudela,Ciudad Real,38.6360533,-3.4728345,Menús para llevar llamando a un teléfono,,926 33 10 17,,SI,
Área de servicio Restaurante La Laguna,"A-43 salida 129, sentido Valencia",Villarrobledo,Albacete,40.4783104,-3.6831232,,,,,SI,
Restaurante 6 Hermanos,"A-31, dirección Madrid en la salida 65",,Albacete,40.4684439,-4.7341502,Café gratuito. Menu del día,13H - 15H30 | 20H - 22H,,,SI,
Área de Servicio la Noguera de Pozo Seco,A-3 en el kilómetro 207,,Cuenca,39.5188367,-1.9531865,,,687 76 52 83,SI,SI,SI
Restaurante Castillejo de Iniesta,"A-3 , salida 224",,Cuenca,39.516561,-1.7558009,Aseos,24H,962 31 21 12,SI,SI,
Área de servicio de Uclés,A-3 en el kilómetro 90,,Cuenca,39.9614996,-2.9290332,Aseos,,617388611,,SI,
Galp Ocaña:,A-4 dirección Madrid-Córdoba en la salida 62,Ocaña,Toledo,39.9341354,-3.4914608,,,,SI,SI,SI
Empres Frigoríficos Sandoval,Polígono Bravo 3-4 en Granda (junto a Central Lechera Asturiana),,Asturias,43.3897497,-5.7823672,Maquina de café y snacks,,,,,SI
Hostal Asturias,"N-630,  en el kilómetro 448. A-66, salida 449",,,40.1875185,-6.0067479,Comidas y cenas,13H - 15H30 | 20H30 - 22H,927 477 05 Whassap 663 968 927,SI,SI,
Alojamiento Pensión Restaurante Cangas de Onis,N-634 en  Pola de Siero,,Asturias,43.3891602,-5.6175175,,,,,,
Restaurante El Paso Buelna,salida de Buelna La Franca o en la salida de Pendueles Vidiago en la N-634,,Asturias,43.3935743,-4.6233262,Comida y café llamando al teléfono,,626 167 798,SI,SI,
Gasolinera Novellana Repsol,"A-8, salida 441",,Asturias,40.4783104,-3.6831232,Tienda,24H,,SI,SI,SI
Estación de Servicio Cepsa La Maya,A-66,Montejo de Salvatierra,Salamanca,40.668245,-5.6197379,Tienda,,,SI,SI,SI
Restaurante La Herradura,N-630 en el kilómetro 326,Calzada de Valdunciel,Salamanca,41.0840944,-5.6986482,,,,,SI,
gasolinera de Valcarce Benavente,,,Zamora,41.9993268,-5.6632942,Aseos,,,,,
Restaurante Camino de Burgos,N-623,Cabañas de Virtus,Burgos,42.9930875,-3.863813,,,,SI,SI,SI
Carrocerías Javi,Polígono Industrial de Villarcayo,Villarcayo,Burgos,40.4783104,-3.6831232,,,676 185 116,SI,SI,SI
Hotel Restaurante Ría de Vigo,N-601 en el kilómetro 260,Becilla,Valladolid,42.0933641,-5.2117089,Aseos.Fruta y agua gratis,,,,,
Restaurante Juanjo II,LE-512 en Villanueva de las Manzanas,Palanquinos,León,42.44982,-5.5035066,Aseos,,987 31 52 10,SI,SI,
Restaurante Riazor,N-VIm kilómetro 392. Polígono de Camponaraya.,,León,42.5663107,-6.6631041,Menús para llevar llamando a un teléfono,,987 46 30 91,,SI,
Estación BP en Santillana de Campos,A-67 en el kilómetro 51,,Palencia,42.3629989,-4.3888627,,,979 04 60 06,SI,SI,
estación BP de Villaherreros,"A-231, en el kilómetro 99",,Palencia,42.3918485,-4.4764458,,,979 04 80 13,SI,SI,
Estación de servicio El Pantano,"carretera 615, en el kilómetro 28.5",Villoldo,Palencia,42.2407596,-4.6069002,Tienda y aseos,,,SI,,
Estación Adán,A-62 en el kilómetro 61.5,Torquemada,Palencia,42.0472246,-4.2572605,Aseos,06H - 22H,,SI,,
Estación de Servicio Rioja Homilla,Calle Principal s/n,Hormilla,La Rioja,40.4783104,-3.6831232,Aseos,,941 41 77 65,SI,SI,SI
Estaciones Arnedo.,N-232 en el kilómetro 367,Pradejón,La Rioja,42.3191329,-2.0536233,Aseos,,641 14 10 91,SI,SI,SI
Restaurante Río Verde,N-340 en el kilómetro 864,Masalavés,Valencia,39.1385576,-0.5237575,,,,,SI,
Gasolinera Staroil,A-3 en Caudete,,Valencia,39.5525178,-1.2744163,Aseos,,,SI,,
Andamur La Junquera,"c/ Bassegoda, 4",,Girona,42.4028939,2.8760753,Menu recogida en tienda,,,,SI,
Andamur San Román,"Polígono Okiturri, en la A-1, salida 385",,Álava,40.4783104,-3.6831232,Menu recogida en tienda,13H - 16H30 | 19H30 - 22H30,,,SI,
Área de Servicio de Santomera,A-7 en el kilómetro 750,Santomera,Murcia,38.1008428,-1.0377651,Aseos,,,SI,,
Estación de Servicio FROET GAS,Centro Integrado de Transportes San Ginés en Molina de Segura,,Murcia,38.0773295,-1.2253555,Aseos,L-V: 7H - 19H | S: 9H-14H,,SI,SI,
Área de Servicio Las Salinas Repsol,carretera de Molina  a Fortuna,Molina de Segura,Murcia,38.0734944,-1.2015524,Tienda y aseos,,,SI,,
Área de Servicio Las Cumbres 2,"Avenida Pedro Sánchez Meca,",Cartagena,Murcia,37.5964196,-0.9682426,Tienda y aseos,,,SI,,
MEROIL ZARAGOZA,A-2 PK 328 MARGEN DERECHO.,Zaragoza,Zaragoza,41.6672981,-0.8160277,,,902 300 300,SI,NO,NO
MEROIL PUIGCERDA,"CARRETERA N-152, KM 169,152.",Puigcerda,Gerona,42.4229855,1.9198401,,,902 300 300,SI,NO,NO
MEROIL BECERRIL DE LA SIERRA,"CARRETERA M-623 KM. 1,5",Becerril de la Sierra,Madrid,40.7075341,-3.9770749,,,902 300 300,SI,NO,NO
MEROIL MERIDIANA,"MERIDIANA, 666",Barcelona,Barcelona,41.4474939,2.1862595,SALIDA PRINCIPAL DE BARCELONA,,902 300 300,SI,NO,NO
MEROIL SALT,"MARQUES CAMPS, 79",Salt,Gerona,41.9673193,2.7857903,JUNTO SALIDA AUTOPISTA GERONA SUR,,902 300 300,SI,NO,NO
MEROIL LLAVANERES,"CARRETERA N-II, KM. 651,475",Sant Andreu de Llavaneres,Barcelona,41.5556801,2.4946079,,,937928171,SI,NO,NO
MEROIL GRANOLLERS,"CARRETERA BARCELONA-PUIGCERDÀ, KM. 26,8",Granollers,Barcelona,41.601734,2.2756413,,,938492582,SI,NO,NO
MEROIL SABADELL,"CARRETERA DE BARCELONA, 405-409",Sabadell,Barcelona,41.5343218,2.1098418,,,937123505,SI,NO,NO
OILPRIX ARRABASSADA,"CARRETERA DE SANT CUGAT, KM. 3",Barcelona,Barcelona,41.4312552,2.1116664,VIA SALIDA BARCELONA HACIA VALLÉS,,933775900,SI,NO,NO
OILPRIX MOLINS,"CARRETERA N-II KM.609,100",Molins de Rey,Barcelona,41.4043919,2.0232596,,,902 300 300,SI,NO,NO
OILPRIX PUERTO TARRAGONA,EIX TRANSVERSAL S/N ( PUERTO DE TARRAGONA ),Tarragona,Tarragona,41.1083009,1.2276235,ES DENTRO DEL PUERTO DE TARRAGONA,,902 300 300,NO,NO,SI
OILPRIX HOSPITALET,"TRAVESIA INDUSTRIAL, Nº 147.",Hospitalet del Llobregat,Barcelona,41.3546105,2.1066869,IMPORTANTE POLIGONO INDUSTRIAL,,933358154,SI,NO,NO
OILPRIX FONTSANTA,CARRETERA DE BARCELONA 41-43,Sant Joan Despi,Barcelona,41.3675906,2.059556,,,933775900,SI,NO,NO
MEROIL LORA,"C-432 LLERENA-UTRERA km 103,8",Lora del Rio,Sevilla,37.4137329,-5.9435766,,,955802213,SI,NO,NO
ES La Cabrera,"N-I-Pk. 57,000 (salida)",,Madrid,40.875816,-3.602362,,CIERRA POR LA NOCHE,,SI,SI,NO
ES Lozoyuela,"N-I-Pk. 64,500 (entrada)",,Madrid,40.90665,-3.610159,,CIERRA POR LA NOCHE,,SI,SI,NO
ES la Serna,"N-I-Pk. 81,000 (entrada)",,Madrid,41.0406769914081,-3.61785626134034,,CIERRA POR LA NOCHE,,SI,SI,SI
Las Monjas,"N-II-Avda Las Monjas, 2",,Madrid,40.4462444075688,-3.48340335907204,,24H,,SI,SI,NO
Alcala de Henares,N-II-crta Aljalvir-Alcala,,Madrid,40.490395850283,-3.38508268262473,,24H,,SI,SI,NO
Azuqueca,"N-II-Avda La Barca, 8",,Madrid,40.5662039528896,-3.25176595417474,,CIERRA POR LA NOCHE,,SI,SI,SI
ES Rivas,"N-III-Pk. 19,500 (salida)",,Madrid,40.325669,-3.520126,,24H,,SI,SI,NO
Fuentidueña,N-III-N-3 KM 68,,Madrid,40.08414167,-3.112975,,CIERRA POR LA NOCHE,,SI,SI,NO
Valdemoro,"N-IV-c/Tenerias, 50",,Madrid,40.1984203354891,-3.67745274919421,,CIERRA POR LA NOCHE,,SI,SI,NO
ES Alcorcón,"N-V-Pk. 12,500 (entrada)",,Madrid,40.356500,-3.819548,,24H,,SI,SI,NO
ES M-40,M-40-Salida nº 5 (entrada),,Madrid,40.469102,-3.627632,,24H,,SI,SI,NO
ES Plaza Elíptica,"Salida hacia A-42 (Crtra. Toledo)-Pº Santa María de la Cabeza, 168",,Madrid,40.386374,-3.716692,,24H,,SI,SI,NO
Villaverde,Getafe - Villaverde-AVDA REAL DE PINTO 167,,Madrid,40.3291378450237,-3.71590815661765,,24H,,SI,SI,NO
Ciempozuelos,"M-404-M-404 KM 42,100",,Madrid,40.1595001703721,-3.60771493011541,,CIERRA POR LA NOCHE,,SI,SI,NO
Villanueva M Grande,M-600-crta M-600 km 28,,Madrid,40.4689521941608,-4.01437521764861,,24H,,SI,SI,NO
ES M 50,N-IV-coto de Doñana 1. Polig ind. Nassica. Pinto,,Madrid,40.264922,-3.692938,,24H,,SI,SI,NO
Casarrubios II,N V-CR Nacional V PK-40 (Toledo),,Toledo,40.2233292663291,-4.07547836661466,,24H,,SI,SI,NO
ES Cazalegas,"N V-Antigua N-5 P.K. 107, Autovía del Suroeste",,Toledo,39.980439,-4.729471,,CIERRA POR LA NOCHE,,NO,SI,SI
ES Toledo,"Toledo (Poligono)-AVENIDA RIO ESTENILLA, 78",,Toledo,39.867288888888886,-3.958777777777778,,CIERRA POR LA NOCHE,,SI,SI,NO
ES Casarrrubios I,N-V-Ctra N-V km 40. Toledo,,Toledo,40.2446495411285,-4.05738066448555,,CIERRA POR LA NOCHE,,SI,NO,NO
ES Segovia Entrada,"N-603 -Pk. 93,600_ Segovia entrada",,Segovia,40.927211,-4.109311,,CIERRA POR LA NOCHE,,SI,SI,NO
ES Segovia Salida,"N-603 -Pk. 93,600 _ Segovia Salida",,Segovia,40.9227001,-4.109666,,CIERRA POR LA NOCHE,,SI,SI,NO
Valdepeñas,"N-IV-CTRA. N-IV, KM 192",,Ciudad Real,38.8420620982246,-3.39303356435254,,24H,,SI,SI,SI
Tomelloso,N IV (Polígono Tomelloso)-Calle Zurbarán 19,,Ciudad Real,39.166373,-3.028078,,CIERRA POR LA NOCHE,,SI,SI,NO
LA JUNQUERA,GI - 601-Polígono Oliveres ( Cantallops ),,Girona,42.4042684590503,2.87995415239117,,24H,,SI,SI,SI
CAPMANY MONTAÑA,N -II-Km 771,,Girona,42.380305,2.890710,,CIERRA POR LA NOCHE,,SI,SI,SI
CAPMANY RIO,N -II-Km 771,,Girona,42.381275,2.646594,,24H,,SI,SI,SI
SANTIGA,"Pol. Industrial-Calle paraires, 2, 4 ( Santiga )",,Girona,41.5328,2.1529,,CIERRA POR LA NOCHE,,SI,SI,NO
MOLINS DE REY,"N - 340-Esq Calle Horta, Km 1246",,Barcelona,42.8006244962939,-1.61163432503102,,CIERRA POR LA NOCHE,,SI,SI,NO
VILLAFRANCA N,"N - 340- Km 1.216,35",,Barcelona,41.3580018521826,1.75217736,,CIERRA POR LA NOCHE,,NO,SI,NO
VILLAFRANCA S,"N - 340- Km 1.216,35",,Barcelona,41.3580018521826,1.75217736,,CIERRA POR LA NOCHE,,NO,SI,NO
BENIPARRELL,Ctra V - 302-P.K 233,,Valencia,39.3864759385224,-0.410710949220219,,CIERRA POR LA NOCHE,,SI,SI,NO
MASSALFASSAR,"Pol. Industrial-Calle Gombalda, S/N",,Valencia,42.8006244962939,-1.61163432503102,,CIERRA POR LA NOCHE,,SI,SI,NO
MONTESA,A - 35-Salida 38,,Valencia,42.8006244962939,-1.61163432503102,,CIERRA POR LA NOCHE,,SI,SI,NO
EL PUIG,A-7-A7-ENLACE 311 (SENTIDO CASTELLON),,Valencia,39.60688889,-0.343691667,,24H,,SI,SI,SI
RABASSA,"Avenida-Avda de la universidad esq, Calle Fortuny",,Alicante,38.37419,-0.50691,,24H,,SI,SI,NO
EL DESCANSO,A - 7-Km 645,,Murcia,37.5860712896269,-1.78649234258035,,CIERRA POR LA NOCHE,,SI,SI,SI
POLIGONO DE LEVANTE,Pol. Industrial-Calle de l´Hort de les animes 23,,Mallorca,39.5671138888889,2.68568888888889,,24H,,SI,NO,NO
SON HUGO,"PM330-Ctra. PM330, Km 1,5",,Mallorca,39.641738,3.028324,,CIERRA POR LA NOCHE,,SI,NO,NO
Aerosevilla,"NIV-CTRA. NACIONAL IV  KM. 531,700",,Sevilla,37.4282086739379,-5.89534475611739,,CIERRA POR LA NOCHE,,SI,SI,NO
Dulce Nombre Sur,"A92-A92 KM 44,500 MI",,Sevilla,37.26928365115850,-5.4998342167493,,CIERRA POR LA NOCHE,,SI,SI,NO
Dulce Nombre Norte,"A92-A92 KM 44,500 MD",,Sevilla,37.27015036247960,-5.50054877182987,,CIERRA POR LA NOCHE,,SI,SI,NO
La Isla,"A 4-CALLE AS, S/N - POLIGONO INDUSTRIAL “LA ISLA” DOS HERRMANAS",,Sevilla,37.279802,-5.990881,,CIERRA POR LA NOCHE,,SI,SI,NO
Las Cabezas,"A471-CR A-471, KM. 16,500",,Sevilla,36.9748795566372,-5.96070189050936,,CIERRA POR LA NOCHE,,SI,SI,NO
Área Santa Ana,"NIV-CTRA. NACIONAL IV  KM. 441,500 - ÉCIJA",,Sevilla,37.602190991253,-4.97122194140235,,CIERRA POR LA NOCHE,,SI,SI,NO
Cullar,A92N-AUTOVIA A-92N P.KM. 81,,Granada,37.594905,-2.3732812,,CIERRA POR LA NOCHE,,SI,SI,NO
E.S. Loma Verde,A44-Ctra. N 323 Km 121 - 18220 Albolote,,Granada,37.247856202901,-3.65569934393863,,CIERRA POR LA NOCHE,,SI,SI,NO
Chauchina,-Paseo de la Rosa II S/N Chauchina,,Granada,37.1937,-3.77687,,CIERRA POR LA NOCHE,,SI,SI,NO
Mérida,A66-CRTA. A-66  PK 630 M.D.,,Badajoz,42.8006244962939,-1.61163432503102,,CIERRA POR LA NOCHE,,SI,SI,SI
Talavera,"A5-CTRA. A-5 KM.384 ,7",,Badajoz,38.86536944444445,-6.811516666666667,,CIERRA POR LA NOCHE,,SI,SI,SI
San Nicolas (E),"N340-CTRA. N-340 P.KM. 417,800",,Almeria,36.7916597649388,-2.70687629882743,,CIERRA POR LA NOCHE,,SI,SI,NO
San Nicolas (O),"N340-CTRA. N-340 P.KM. 417,799",,Almeria,36.7916597649388,-2.70687629882743,,CIERRA POR LA NOCHE,,SI,SI,NO
La Nijareña,"N341-CTRA. N-341 KM 0,500 (NIJAR-CARBONERA)",,Almeria,36.99074,-2.06063,,CIERRA POR LA NOCHE,,SI,SI,NO
Puerta de Vera,AL 820-AUTOVIA DEL MEDITERRÁNEO KM 529 - ANTAS,,Almeria,37.21371,-1.89786,,CIERRA POR LA NOCHE,,SI,SI,SI
San Lucas,A44-AUTOVIA A-44 (BAILEN - MOTRIL) P. KM. 36,,Jaén,37.913884,-3.783709,,CIERRA POR LA NOCHE,,SI,SI,SI
Torredelcampo,"N321-CTRA. N-321, P.K. 68,5",,Jaén,37.7765736237407,-3.88879352694599,,CIERRA POR LA NOCHE,,SI,SI,NO
Puerta de Alcalá,N432 - A335-GLORIETA NORTE ENLACE N432 A A335 - ALCALÁ LA REAL,,Jaén,37.45234,-3.93519,,CIERRA POR LA NOCHE,,SI,SI,SI
E.S. Antequera,A45-Ctra. N 331 Km 124 - 29200 Antequera,,Málaga,37.0449166064964,-4.51223161320881,,CIERRA POR LA NOCHE,,SI,SI,NO
E.S. Reserva del Higueron,A7-CTRA. MIJAS - BENALMADENA P.KM. 217,,Málaga,36.5860205311366,-4.59341375081945,,CIERRA POR LA NOCHE,,SI,SI,NO
E.S. Portichuelos,A7-CTRA. CADIZ-MALAGA KM 124,,Cádiz,36.2307863455385,-5.35161449756381,,CIERRA POR LA NOCHE,,SI,SI,NO
Aerojerez,A4-CTRA. MADRID – CADIZ KM 628,,Cádiz,36.7586096466326,-6.07152071367903,,CIERRA POR LA NOCHE,,SI,SI,NO
Laguna de Duero,N-601-Av de la Ronda s/n,,Valladolid,41.5945254479644,-4.72373100577802,,CIERRA POR LA NOCHE,,SI,SI,NO
Montico,"A-6-Ctra VP 9803 km 0,70",,Valladolid,42.8006244962939,-1.61163432503102,,CIERRA POR LA NOCHE,,SI,SI,NO
Benavente,"A-6-Av Federico Silva, n128",,Zamora,41.9972188069159,-5.66143207165289,,24H,,SI,SI,NO
Villalpando,A-6-Autovia A6 km 231,,Zamora,41.8267556124203,-5.37984352650955,,CIERRA POR LA NOCHE,,SI,SI,SI
ES Sancti Spiritus,"Ctra. N-620-Ctra. N-620, Km. 309",,Salamanca,40.6970674101166,-6.41725001228222,,24H,,SI,SI,SI
Villagonzalo,"N-620-N-620. Km 6,600. Villagonzalo Pedernales. Burgos",,Burgos,42.3067737884943,-3.7323646814356,,24H,,SI,SI,SI
Fontioso,N-I-N-I. Km 190. Fontioso. Burgos,,Burgos,41.9305503704578,-3.7600472491693,,24H,,SI,SI,NO
Sarracin,N-I-N-I. Km 225. Sarracin. Burgos,,Burgos,42.204107,-3.696899,,24H,,SI,SI,NO
Quintanapalla,"N-I-Crta N-1, Km 256. Quintanapalla (Burgos)",,Burgos,42.4173555512263,-3.52037398992063,,CIERRA POR LA NOCHE,,SI,SI,SI
Jarrio,N- 634-Ctra N 634 km 528,,Asturias,43.5410747537243,-6.75980373649471,,CIERRA POR LA NOCHE,,SI,SI,SI
Tremañes,Tremañes-Gijon-Avda de los Campones 13,,Asturias,43.533833,-5.691222,,CIERRA POR LA NOCHE,,SI,NO,SI
Urnieta,A-15. Salida 160.-POL. IND. BARRIO ERGOYEN. Urnieta (Gipuzkoa),,País Vasco,43.2348092,-2.000134,,24H,,SI,SI,SI
Ribabellosa,"N-I-Ctra. N-1, Km. 323. Ribabellosa (Alava)",,País Vasco,42.710624,-2.906969,,24H,,SI,SI,SI
Arriaundi,"N-634-CTRA. N-634 P.K.84,4. Iurreta (Bizkaia)",,País Vasco,43.1862905356765,-2.67098442701143,,24H,,SI,SI,SI
Mutilva,PA-30-Ctra Pa-30 P.Km.4 (Ronda Este). Mutilva (Navarra),,Navarra,42.8006244962939,-1.61163432503102,,24H,,SI,SI,SI
Mugiro,"A-15-A-15, P.K. 124,48. Mugiro (Navarra)",,Navarra,42.8006244962939,-1.61163432503102,,24H,,SI,SI,SI
La Muela,"N-II-Ctra A-2 Km. 299,3. La Muela (Zaragoza)",,Zaragoza,41.5857218314709,-1.09969728342227,,24H,,SI,SI,SI
Serra do Barbanza,"AG-11-Autovia Padrón-Ribeira, p.k. 7,5",,La Coruña,42.71633,-8.72643,,CIERRA POR LA NOCHE,,SI,SI,SI
Reocin,A-8-Salida 234,,Cantabria,43.356972,-4.092806,,CIERRA POR LA NOCHE,,SI,SI,SI
Villamañan,A-66-Ctra Matorga -Astorga Km 32. Villamañan. Leon,,León,42.32489,-5.60467,,24H,,SI,SI,SI
Estación Servicio DYNEFF ARASUR,Avda Alava s/n,Rivabellosa,Álava,42.7001204,-2.9193699,Lavadora Secadora,,(+34)945356889,SI,SI,SI
Estación Servicio La Jonquera,Avda Euskadi,La Jonquera,Girona,42.3996542,2.8843936,Lavadora Secadora,,(+34)972554207,SI,SI,SI
CRED AMEIXEIRA NORTE,"AU AP-9 P.K. 39,50 I",Ameixeira,A Coruña,43.09961006,-8.34908808,,De Lunes a Domingo de 07:00 a 23:00 horas,981682604,SI,SI,
CRED AMEIXEIRA SUR,"AU AP-9 P.K. 39,50 D",Ameixeira,A Coruña,43.09783951,-8.35163246,,ABIERTO 24h.,981680783,SI,SI,
CRED CARBALLO,VAZQUEZ DE PARGA S/N,Carballo,A Coruña,43.2132784,-8.69353132,,De Lunes a Domingo de 07:00 a 23:00 horas,981701300,SI,SI,
E.S. BAZARRA S.L.,"CR C-552 P.K. 93,00 D",Cee,A Coruña,42.96605061,-9.19363718,,De Lunes a Domingo de 07:00 a 23:00 horas,981745011,SI,,
E.S. CRED COIROS I,CR A-6 P.K. 558 D,Coiros,A Coruña,43.24045245,-8.13495702,,ABIERTO 24h.,981796442,SI,SI,
E.S. CRED COIROS II,CR A-6 P.K. 558 I,Coiros,A Coruña,43.2392957,-8.13456005,,L a D de 7:00 a 23:00,981796148,SI,SI,
E.S. BARREAL,"CR C-552 P.K. 37,50 I",Coristanco,A Coruña,43.18964352,-8.73231048,,De Lunes a Viernes de 06:00 a 23:30 horas; De Sábado a Domingo de 07:00 a 23:15 horas,981733088,SI,,
CRED ELVIÑA,"AV DE ALFONSO MOLINA, S.N.",A Coruña,A Coruña,43.33364736,-8.40247476,,ABIERTO 24h.,981280457,SI,SI,
CRED LOS ROSALES,"AV GRAN CANRIA (POL. ROSALES), S.N.",A Coruña,A Coruña,43.37307585,-8.42789755,,De Lunes a Domingo de 07:00 a 23:00 horas,981274616,SI,SI,
CRED EIRIS,"AV DE MONELOS, S.N.",A Coruña,A Coruña,43.33886779,-8.39372721,,De Lunes a Domingo de 07:00 a 23:00 horas,981132303,SI,SI,
E.S. SAN CRISTOBAL,"CL AVENIDA JOAQUIN PLANELLES, 51",A Coruña,A Coruña,43.34745784,-8.41900732,,ABIERTO 24h.,981152099,SI,,
"GALIMOVIL GALICIA,S.L.","AV FINISTERRE, 324",A Coruña,A Coruña,43.35730648,-8.42471864,,De Lunes a Domingo de 07:00 a 21:00 horas,981269033,SI,SI,
E.S. AS MOAS,"CL AVENIDA DEL EJERCITO, S.N.",A Coruña,A Coruña,43.35440461,-8.39328096,,De Lunes a Domingo de 07:00 a 23:00 horas,981171295,SI,SI,
