Fecha,Cod_Provincia,Provincia,TOTAL_CAMAS,OCUPADAS_COVID19,OCUPADAS_NO_COVID19,% Pacientes COVID-19,% Pacientes no COVID-19,media_7d_ocupadas_covid,POR_OCUPADAS_TOTAL,media_7d_ocupadas_total
2020-08-13,35,"Palmas, Las",261,1,104,0.38,39.85,0.0,15.41,14.0
2020-08-13,36,Pontevedra,229,0,65,0.0,28.38,0.0,12.39,12.0
2020-08-13,37,Salamanca,39,1,12,2.56,30.77,1.0,85.46,106.0
2020-08-13,38,Santa Cruz de Tenerife,190,2,87,1.05,45.79,1.0,24.65,24.0
2020-08-13,39,Cantabria,115,0,47,0.0,40.87,0.0,35.54,33.0
2020-08-13,4,Almería,126,14,23,11.11,18.25,10.0,23.3,23.0
2020-08-13,40,Segovia,22,0,3,0.0,13.64,0.0,62.0,115.0
2020-08-13,41,Sevilla,343,2,138,0.58,40.23,0.0,11.9,11.0
2020-08-13,42,Soria,16,0,1,0.0,6.25,0.0,39.06,151.0
2020-08-13,43,Tarragona,108,13,25,12.04,23.15,10.0,32.58,38.0
2020-08-13,44,Teruel,8,2,4,25.0,50.0,25.0,937.5,826.0
2020-08-13,45,Toledo,86,2,38,2.33,44.19,2.0,54.09,47.0
2020-08-13,46,Valencia/València,579,24,169,4.15,29.19,3.0,5.76,6.0
2020-08-13,47,Valladolid,83,5,42,6.02,50.6,6.0,68.22,64.0
2020-08-13,48,Bizkaia,164,12,71,7.32,43.29,6.0,30.86,31.0
2020-08-13,49,Zamora,17,0,8,0.0,47.06,2.0,276.82,188.0
2020-08-13,5,Ávila,15,0,5,0.0,33.33,0.0,222.2,159.0
2020-08-13,50,Zaragoza,161,48,50,29.81,31.06,26.0,37.81,34.0
2020-08-13,51,Ceuta,17,0,1,0.0,5.88,0.0,34.59,84.0
2020-08-13,52,Melilla,12,0,4,0.0,33.33,0.0,277.75,278.0
2020-08-13,6,Badajoz,141,2,27,1.42,19.15,1.0,14.59,17.0
2020-08-13,7,"Balears, Illes",274,17,88,6.2,32.12,5.0,13.99,15.0
2020-08-13,8,Barcelona,842,98,411,11.64,48.81,11.0,7.18,7.0
2020-08-13,9,Burgos,45,2,18,4.44,40.0,4.0,98.76,77.0
2020-08-14,1,Araba/Álava,59,3,23,5.08,38.98,2.0,74.68,66.0
2020-08-14,10,Cáceres,66,3,19,4.55,28.79,1.0,50.52,50.0
2020-08-14,11,Cádiz,214,7,42,3.27,19.63,2.0,10.7,11.0
2020-08-14,12,Castellón/Castelló,75,0,20,0.0,26.67,0.0,35.56,39.0
2020-08-14,13,Ciudad Real,79,3,28,3.8,35.44,4.0,49.67,50.0
2020-08-14,14,Córdoba,162,2,43,1.23,26.54,2.0,17.14,20.0
2020-08-14,15,"Coruña, A",320,0,75,0.0,23.44,0.0,7.33,8.0
2020-08-14,16,Cuenca,41,0,5,0.0,12.2,0.0,29.76,33.0
2020-08-14,17,Girona,53,9,32,16.98,60.38,20.0,145.96,164.0
2020-08-14,18,Granada,170,2,64,1.18,37.65,1.0,22.84,23.0
2020-08-14,19,Guadalajara,48,1,10,2.08,20.83,2.0,47.73,47.0
2020-08-14,2,Albacete,67,4,33,5.97,49.25,6.0,82.42,79.0
2020-08-14,20,Gipuzkoa,85,2,43,2.35,50.59,1.0,62.28,55.0
2020-08-14,21,Huelva,76,1,26,1.32,34.21,1.0,46.75,45.0
2020-08-14,22,Huesca,25,7,5,28.0,20.0,26.0,192.0,176.0
2020-08-14,23,Jaén,131,5,21,3.82,16.03,2.0,15.15,16.0
2020-08-14,24,León,65,0,30,0.0,46.15,1.0,71.0,73.0
2020-08-14,25,Lleida,53,17,25,32.08,47.17,30.0,149.53,151.0
2020-08-14,26,"Rioja, La",43,0,12,0.0,27.91,0.0,64.91,82.0
2020-08-14,27,Lugo,94,0,16,0.0,17.02,0.0,18.11,22.0
2020-08-14,28,Madrid,1011,90,385,8.9,38.08,8.0,4.65,5.0
2020-08-14,29,Málaga,323,7,70,2.17,21.67,1.0,7.38,7.0
2020-08-14,3,Alicante/Alacant,348,10,125,2.87,35.92,2.0,11.15,11.0
2020-08-14,30,Murcia,431,22,97,5.1,22.51,4.0,6.41,6.0
2020-08-14,31,Navarra,110,7,36,6.36,32.73,6.0,35.54,38.0
2020-08-14,32,Ourense,84,0,15,0.0,17.86,0.0,21.26,32.0
2020-08-14,33,Asturias,254,3,46,1.18,18.11,1.0,7.59,8.0
2020-08-14,34,Palencia,14,0,10,0.0,71.43,0.0,510.21,326.0
2020-08-14,35,"Palmas, Las",250,1,82,0.4,32.8,0.0,13.28,14.0
2020-08-14,36,Pontevedra,229,0,66,0.0,28.82,0.0,12.59,12.0
2020-08-14,37,Salamanca,39,1,12,2.56,30.77,1.0,85.46,101.0
2020-08-14,38,Santa Cruz de Tenerife,190,4,78,2.11,41.05,1.0,22.72,23.0
2020-08-14,39,Cantabria,115,0,48,0.0,41.74,0.0,36.3,34.0
2020-08-14,4,Almería,127,15,20,11.81,15.75,10.0,21.7,24.0
2020-08-14,40,Segovia,22,0,6,0.0,27.27,0.0,123.95,112.0
2020-08-14,41,Sevilla,343,2,136,0.58,39.65,0.0,11.73,11.0
2020-08-14,42,Soria,16,0,3,0.0,18.75,0.0,117.19,145.0
2020-08-14,43,Tarragona,108,11,30,10.19,27.78,10.0,35.16,37.0
2020-08-14,44,Teruel,8,2,4,25.0,50.0,29.0,937.5,848.0
2020-08-14,45,Toledo,86,2,37,2.33,43.02,2.0,52.73,49.0
2020-08-14,46,Valencia/València,579,24,174,4.15,30.05,3.0,5.91,6.0
2020-08-14,47,Valladolid,83,4,43,4.82,51.81,6.0,68.23,66.0
2020-08-14,48,Bizkaia,164,12,67,7.32,40.85,6.0,29.37,30.0
2020-08-14,49,Zamora,17,0,7,0.0,41.18,1.0,242.24,203.0
